,Category,Rank,Title,Artist
0,greatest-of-all-time,1,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
1,greatest-of-all-time,2,The Boy Is Mine,Brandy & Monica
2,greatest-of-all-time,3,Tossin' And Turnin',Bobby Lewis
3,greatest-of-all-time,4,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
4,greatest-of-all-time,5,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
5,greatest-of-all-time,6,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
6,greatest-of-all-time,7,Every Breath You Take,The Police
7,greatest-of-all-time,8,We Belong Together,Mariah Carey
8,greatest-of-all-time,9,I Just Want To Be Your Everything,Andy Gibb
9,greatest-of-all-time,10,When Doves Cry,Prince
10,greatest-of-all-time,11,(Everything I Do) I Do It For You,Bryan Adams
11,greatest-of-all-time,12,Alone Again (Naturally),Gilbert O'Sullivan
12,greatest-of-all-time,13,(I Can't Get No) Satisfaction,The Rolling Stones
13,greatest-of-all-time,14,Hot In Herre,Nelly
14,greatest-of-all-time,15,Bad Girls,Donna Summer
15,greatest-of-all-time,16,Roses Are Red (My Love),Bobby Vinton
16,greatest-of-all-time,17,I'm Sorry,Brenda Lee
17,greatest-of-all-time,18,Rockstar,DaBaby Featuring Roddy Ricch
18,greatest-of-all-time,19,In The Year 2525,Zager & Evans
19,greatest-of-all-time,20,Eye Of The Tiger,Survivor
20,greatest-of-all-time,21,Lonely Boy,Paul Anka
21,greatest-of-all-time,22,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno
22,greatest-of-all-time,23,Umbrella,Rihanna Featuring Jay-Z
23,greatest-of-all-time,24,Crazy In Love,Beyonce Featuring Jay Z
24,greatest-of-all-time,25,Can't Help Falling In Love,UB40
25,greatest-of-all-time,26,Waterfalls,TLC
26,greatest-of-all-time,27,I Swear,All-4-One
27,greatest-of-all-time,28,I Gotta Feeling,The Black Eyed Peas
28,greatest-of-all-time,29,Baby Got Back,Sir Mix-A-Lot
29,greatest-of-all-time,30,(They Long To Be) Close To You,Carpenters
30,greatest-of-all-time,31,Poor Little Fool,Ricky Nelson
31,greatest-of-all-time,32,Macarena (Bayside Boys Mix),Los Del Rio
32,greatest-of-all-time,33,Promiscuous,Nelly Furtado Featuring Timbaland
33,greatest-of-all-time,34,The Battle Of New Orleans,Johnny Horton
34,greatest-of-all-time,35,Light My Fire,The Doors
35,greatest-of-all-time,36,California Gurls,Katy Perry Featuring Snoop Dogg
36,greatest-of-all-time,37,Shadow Dancing,Andy Gibb
37,greatest-of-all-time,38,Call Me Maybe,Carly Rae Jepsen
38,greatest-of-all-time,39,Windy,The Association
39,greatest-of-all-time,40,Genie In A Bottle,Christina Aguilera
40,pop,1,Greedy,Tate McRae
41,pop,2,Paint The Town Red,Doja Cat
42,pop,3,Cruel Summer,Taylor Swift
43,pop,4,Lovin On Me,Jack Harlow
44,pop,5,Used To Be Young,Miley Cyrus
45,pop,6,Lil Boo Thang,Paul Russell
46,pop,7,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
47,pop,8,Agora Hills,Doja Cat
48,pop,9,Get Him Back!,Olivia Rodrigo
49,pop,10,Houdini,Dua Lipa
50,pop,11,What Was I Made For?,Billie Eilish
51,pop,12,Calm Down,Rema & Selena Gomez
52,pop,13,Water,Tyla
53,pop,14,What It Is (Block Boy),Doechii Featuring Kodak Black
54,pop,15,Strangers,Kenya Grace
55,pop,16,Good Good,"Usher, Summer Walker & 21 Savage"
56,pop,17,Lose Control,Teddy Swims
57,pop,18,Feather,Sabrina Carpenter
58,pop,19,Exes,Tate McRae
59,pop,20,I Know ?,Travis Scott
60,pop,21,Too Much,"The Kid LAROI, Jung Kook & Central Cee"
61,pop,22,Seasons,Thirty Seconds To Mars
62,pop,23,Thinkin' Bout Me,Morgan Wallen
63,pop,24,"Yes, I'm A Mess",AJR
64,pop,25,Strong Enough,Jonas Brothers Featuring Bailey Zimmerman
65,pop,26,Both,"Tiesto, 21 Savage & BIA"
66,pop,27,XXL,LANY
67,pop,28,Fall In Love Again,P1Harmony
68,pop,29,Heartbroken,"Diplo, Jessie Murph & Polo G"
69,pop,30,Everybody,Nicki Minaj Featuring Lil Uzi Vert
70,pop,31,Standing Next To You,Jung Kook
71,pop,32,3D,Jung Kook & Jack Harlow
72,pop,33,On My Mama,Victoria Monet
73,pop,34,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
74,pop,35,If Only I,"Loud Luxury, Two Friends & Bebe Rexha"
75,pop,36,Stick Season,Noah Kahan
76,pop,37,One Of Your Girls,Troye Sivan
77,pop,38,My Love Mine All Mine,Mitski
78,pop,39,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
79,pop,40,Fix This,Olivia Lunny & Bryce Vine
80,country,1,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
81,country,2,Last Night,Morgan Wallen
82,country,3,Fast Car,Luke Combs
83,country,4,Thinkin' Bout Me,Morgan Wallen
84,country,5,White Horse,Chris Stapleton
85,country,6,World On Fire,Nate Smith
86,country,7,Need A Favor,Jelly Roll
87,country,8,Save Me,Jelly Roll With Lainey Wilson
