,Artist,id,Song Name,Popularity,Danceability,Energy,Tempo,Duration
0,Daniel Powter,0mUyMawtxj1CJ76kn9gIZK,Bad Day,77,0.599,0.785,140.046,233640
1,Sean Paul,0k2GOhqsrxDTAbFFSdNJjT,Temperature,83,0.951,0.6,125.04,218573
2,Nelly Furtado Featuring Timbaland,2gam98EZKrF9XuOkU13ApN,Promiscuous,87,0.808,0.97,114.328,242293
3,James Blunt,7wvngPeKCLPzIpA84IrsSr,You're Beautiful,51,0.174,0.569,86.557,149328
4,Shakira Featuring Wyclef Jean,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie,87,0.778,0.824,100.024,218093
5,Natasha Bedingfield,3U5JVgI2x4rDyHGObzJfNf,Unwritten,85,0.706,0.8,100.011,259333
6,Gnarls Barkley,4zfQER4owi8q6NL8Gg63Ya,Crazy,89,0.809,0.836,125.953,199964
7,Chamillionaire Featuring Krayzie Bone,6BaxqcoEM9r3LXisTyJjST,Ridin',67,0.442,0.83,89.338,215747
8,Justin Timberlake,0O45fw2L5vsWpdsOdXwNAR,SexyBack,82,0.967,0.583,117.0,242733
9,Beyonce Featuring Slim Thug,2RWxrpsFshOBFwRBRstUlQ,Check On It,61,0.705,0.796,166.042,210453
10,Beyonce,6RX5iL93VZ5fKmyvNXvF1r,Irreplaceable,73,0.447,0.694,175.868,227853
11,Rihanna Featuring Jay-Z,2yPoXCs7BSIUrucMdK5PzV,Umbrella,75,0.583,0.829,174.028,275987
12,Gwen Stefani Featuring Akon,66ZcOcouenzZEnzTJvoFmH,The Sweet Escape,76,0.756,0.77,119.961,246467
13,Fergie,4AniPkv5vgdE1n6VKreiyI,Big Girls Don't Cry,69,0.707,0.642,113.083,268120
14,T-Pain Featuring Yung Joc,1tkMs9wDPknQ3ZHcKDw1ES,Buy U A Drank (Shawty Snappin'),79,0.693,0.549,80.028,227960
15,Carrie Underwood,0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,82,0.519,0.749,147.905,199947
16,Plain White T's,4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,81,0.656,0.291,103.971,232533
17,Akon Featuring Snoop Dogg,0CXVjQI9wsqaGeIARkkpYc,I Wanna Love You,77,0.866,0.454,99.985,247067
18,Nelly Furtado,2aI21FnmY7TJVKeMaoQZ0t,Say It Right,83,0.872,0.872,116.948,223080
19,Fergie Featuring Ludacris,4KTtYhxFtFL7mBwnjkKfLm,Glamorous,74,0.81,0.755,130.991,246573
20,Flo Rida Featuring T-Pain,2GAhgAjOhEmItWLfgisyOn,Low,84,0.698,0.546,145.044,181080
21,Leona Lewis,7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,79,0.638,0.656,104.036,262467
22,Alicia Keys,0mZ5GyrHG908lqrHaTw4hi,No One,76,0.641,0.552,90.098,254524
23,Lil Wayne Featuring Static Major,3cDyocF0Ibdfs1SFQk5cLZ,Lollipop,90,0.822,0.711,102.984,199947
24,Timbaland Featuring OneRepublic,1NrJYpdAi7uosDRPmSYrsG,Apologize,72,0.593,0.74,118.008,208107
25,Jordin Sparks Duet With Chris Brown,0u9NVrPqUINrHIFCuPOnYm,No Air,73,0.429,0.197,128.49,243709
26,Sara Bareilles,3DZQ6mzUkAdHqZWzqxBKIK,Love Song,76,0.71,0.598,119.981,256320
27,Usher Featuring Young Jeezy,5j0McHPthKpOXRr3fBq8M0,Love In This Club,75,0.573,0.712,140.012,259720
28,Chris Brown,34SQ0QfLSR316d8KL2zkuZ,With You,73,0.558,0.66,75.009,220893
29,Chris Brown,2enPRFda84VE2wtI8c86Uf,Forever,83,0.174,0.742,163.378,223747
30,The Black Eyed Peas,3opVsyWVYEAFK9bJAG8Opa,Boom Boom Pow,68,0.866,0.857,130.049,251440
31,Lady Gaga,5R8dQOPq8haW94K7mgERlO,Poker Face,81,0.851,0.806,118.999,237200
32,Lady Gaga Featuring Colby O'Donis,2x7MyWybabEz6Y6wvHuwGE,Just Dance,78,0.822,0.739,118.992,241933
33,The Black Eyed Peas,2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,79,0.744,0.766,127.966,289133
34,Taylor Swift,1vrd6UOGamcKNGnSHJQlSt,Love Story,70,0.618,0.741,118.984,235267
35,Flo Rida,3GpbwCm3YxiWDvy29Uo3vP,Right Round,80,0.72,0.672,124.986,204640
36,Jason Mraz,5ClnW65Z82Mqu4QFwf69YU,I'm Yours,75,0.79,0.858,137.894,167015
37,Beyonce,2ZBNclC5wm4GtiWaeh0DMx,Single Ladies (Put A Ring On It),69,0.426,0.584,193.437,193213
38,Kanye West,4EWCNWgDS8707fNSZ1oaA5,Heartless,91,0.79,0.647,87.999,211000
39,The All-American Rejects,6ihL9TjfRjadfEePzXXyVF,Gives You Hell,73,0.718,0.691,100.008,213107
40,Ke$ha,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,86,0.755,0.837,120.028,199693
41,Lady Antebellum,11EX5yhxr9Ihl3IN1asrfK,Need You Now,73,0.587,0.622,107.943,277573
42,Train,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",86,0.673,0.886,97.012,216773
43,Katy Perry Featuring Snoop Dogg,6KOEK6SeCEZOQkLj5M1PxH,California Gurls,75,0.788,0.753,125.005,234653
44,Usher Featuring will.i.am,65FftemJ1DbbZ45DUfHJXE,OMG,87,0.804,0.771,126.956,212253
