,Year,Rank,Title,Artist
0,2006,1,Bad Day,Daniel Powter
1,2006,2,Temperature,Sean Paul
2,2006,3,Promiscuous,Nelly Furtado Featuring Timbaland
3,2006,4,You're Beautiful,James Blunt
4,2006,5,Hips Don't Lie,Shakira Featuring Wyclef Jean
5,2006,6,Unwritten,Natasha Bedingfield
6,2006,7,Crazy,Gnarls Barkley
7,2006,8,Ridin',Chamillionaire Featuring Krayzie Bone
8,2006,9,SexyBack,Justin Timberlake
9,2006,10,Check On It,Beyonce Featuring Slim Thug
10,2006,11,Be Without You,Mary J. Blige
11,2006,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
12,2006,13,Over My Head (Cable Car),The Fray
13,2006,14,Me & U,Cassie
14,2006,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
15,2006,16,Run It!,Chris Brown
16,2006,17,So Sick,Ne-Yo
17,2006,18,It's Goin' Down,Yung Joc
18,2006,19,SOS,Rihanna
19,2006,20,I Write Sins Not Tragedies,Panic! At The Disco
20,2006,21,Move Along,The All-American Rejects
21,2006,22,London Bridge,Fergie
22,2006,23,Dani California,Red Hot Chili Peppers
23,2006,24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
24,2006,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
25,2006,26,What Hurts The Most,Rascal Flatts
26,2006,27,How To Save A Life,The Fray
27,2006,28,Unfaithful,Rihanna
28,2006,29,Chasing Cars,Snow Patrol
29,2006,30,Lips Of An Angel,Hinder
30,2006,31,Everytime We Touch,Cascada
31,2006,32,Ain't No Other Man,Christina Aguilera
32,2006,33,"Dance, Dance",Fall Out Boy
33,2006,34,Gold Digger,Kanye West Featuring Jamie Foxx
34,2006,35,Money Maker,Ludacris Featuring Pharrell
35,2006,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
36,2006,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
37,2006,38,Photograph,Nickelback
38,2006,39,Because Of You,Kelly Clarkson
39,2006,40,Stickwitu,The Pussycat Dolls
40,2006,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
41,2006,42,My Humps,The Black Eyed Peas
42,2006,43,Where'd You Go,Fort Minor Featuring Holly Brook
43,2006,44,Yo (Excuse Me Miss),Chris Brown
44,2006,45,Walk Away,Kelly Clarkson
45,2006,46,Laffy Taffy,D4L
46,2006,47,What You Know,T.I.
47,2006,48,Dirty Little Secret,The All-American Rejects
48,2006,49,Savin' Me,Nickelback
49,2006,50,Don't Forget About Us,Mariah Carey
50,2006,51,Sexy Love,Ne-Yo
51,2006,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl
52,2006,53,Far Away,Nickelback
53,2006,54,What's Left Of Me,Nick Lachey
54,2006,55,So What,Field Mob Featuring Ciara
55,2006,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
56,2006,57,Black Horse & The Cherry Tree,KT Tunstall
57,2006,58,There It Go! (The Whistle Song),Juelz Santana
58,2006,59,Shoulder Lean,Young Dro Featuring T.I.
59,2006,60,Unpredictable,Jamie Foxx Featuring Ludacris
60,2006,61,My Love,Justin Timberlake Featuring T.I.
61,2006,62,Shake That,Eminem Featuring Nate Dogg
