,Year,Rank,Title,Artist
0,2006,1,Bad Day,Daniel Powter
1,2006,2,Temperature,Sean Paul
2,2006,3,Promiscuous,Nelly Furtado Featuring Timbaland
3,2006,4,You're Beautiful,James Blunt
4,2006,5,Hips Don't Lie,Shakira Featuring Wyclef Jean
5,2006,6,Unwritten,Natasha Bedingfield
6,2006,7,Crazy,Gnarls Barkley
7,2006,8,Ridin',Chamillionaire Featuring Krayzie Bone
8,2006,9,SexyBack,Justin Timberlake
9,2006,10,Check On It,Beyonce Featuring Slim Thug
10,2007,1,Irreplaceable,Beyonce
11,2007,2,Umbrella,Rihanna Featuring Jay-Z
12,2007,3,The Sweet Escape,Gwen Stefani Featuring Akon
13,2007,4,Big Girls Don't Cry,Fergie
14,2007,5,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
15,2007,6,Before He Cheats,Carrie Underwood
16,2007,7,Hey There Delilah,Plain White T's
17,2007,8,I Wanna Love You,Akon Featuring Snoop Dogg
18,2007,9,Say It Right,Nelly Furtado
19,2007,10,Glamorous,Fergie Featuring Ludacris
20,2008,1,Low,Flo Rida Featuring T-Pain
21,2008,2,Bleeding Love,Leona Lewis
22,2008,3,No One,Alicia Keys
23,2008,4,Lollipop,Lil Wayne Featuring Static Major
24,2008,5,Apologize,Timbaland Featuring OneRepublic
25,2008,6,No Air,Jordin Sparks Duet With Chris Brown
26,2008,7,Love Song,Sara Bareilles
27,2008,8,Love In This Club,Usher Featuring Young Jeezy
28,2008,9,With You,Chris Brown
29,2008,10,Forever,Chris Brown
30,2009,1,Boom Boom Pow,The Black Eyed Peas
31,2009,2,Poker Face,Lady Gaga
32,2009,3,Just Dance,Lady Gaga Featuring Colby O'Donis
33,2009,4,I Gotta Feeling,The Black Eyed Peas
34,2009,5,Love Story,Taylor Swift
35,2009,6,Right Round,Flo Rida
36,2009,7,I'm Yours,Jason Mraz
37,2009,8,Single Ladies (Put A Ring On It),Beyonce
38,2009,9,Heartless,Kanye West
39,2009,10,Gives You Hell,The All-American Rejects
40,2010,1,TiK ToK,Ke$ha
41,2010,2,Need You Now,Lady Antebellum
42,2010,3,"Hey, Soul Sister",Train
43,2010,4,California Gurls,Katy Perry Featuring Snoop Dogg
44,2010,5,OMG,Usher Featuring will.i.am
45,2010,6,Airplanes,B.o.B Featuring Hayley Williams
46,2010,7,Love The Way You Lie,Eminem Featuring Rihanna
47,2010,8,Bad Romance,Lady Gaga
48,2010,9,Dynamite,Taio Cruz
49,2010,10,Break Your Heart,Taio Cruz Featuring Ludacris
50,2011,1,Rolling In The Deep,Adele
51,2011,2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
52,2011,3,Firework,Katy Perry
53,2011,4,E.T.,Katy Perry Featuring Kanye West
54,2011,5,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
55,2011,6,Grenade,Bruno Mars
56,2011,8,Super Bass,Nicki Minaj
57,2011,9,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
58,2011,10,Just Can't Get Enough,The Black Eyed Peas
59,2011,11,On The Floor,Jennifer Lopez Featuring Pitbull
60,2012,1,Somebody That I Used To Know,Gotye Featuring Kimbra
61,2012,2,Call Me Maybe,Carly Rae Jepsen
62,2012,3,We Are Young,fun. Featuring Janelle Monae
